from_category,from_zone,to_category,to_zone,support,confidence,session_count
LANDMARK,882a100d67fffff,RESTAURANT,882a10725bfffff,0.0005063561015910241,0.06761565836298933,19
RESTAURANT,882a1072cdfffff,RESTAURANT,882a1072c9fffff,0.0006662580284092424,0.06756756756756757,25
RESTAURANT,882a100d23fffff,RESTAURANT,882a100d35fffff,0.0005863070650001332,0.06748466257668712,22
RESTAURANT,882a100d29fffff,RESTAURANT,882a100d2bfffff,0.0005330064227273938,0.06688963210702341,20
RESTAURANT,882a100d65fffff,TRANSPORT,882a10725bfffff,0.0006396077072728727,0.06593406593406594,24
RESTAURANT,882a100d23fffff,RESTAURANT,882a100d27fffff,0.0005596567438637635,0.06441717791411043,21
RESTAURANT,882a1072c9fffff,RESTAURANT,882a100d23fffff,0.0006662580284092424,0.0641025641025641,25
RESTAURANT,882a100d65fffff,LANDMARK,882a100d67fffff,0.0006129573861365029,0.06318681318681318,23
RESTAURANT,882a100d67fffff,RESTAURANT,882a10725bfffff,0.0005596567438637635,0.06306306306306306,21
RESTAURANT,882a1072cdfffff,RESTAURANT,882a1072c1fffff,0.0005863070650001332,0.05945945945945946,22
RESTAURANT,882a100d27fffff,RESTAURANT,882a100d23fffff,0.0006396077072728727,0.059113300492610835,24
RESTAURANT,882a100d23fffff,RESTAURANT,882a107259fffff,0.0005063561015910241,0.05828220858895705,19
RESTAURANT,882a100d65fffff,RESTAURANT,882a100d67fffff,0.0005596567438637635,0.057692307692307696,21
RESTAURANT,882a1072cbfffff,RESTAURANT,882a100d23fffff,0.0005596567438637635,0.05722070844686648,21
RESTAURANT,882a1072cdfffff,RESTAURANT,882a100d27fffff,0.0005596567438637635,0.05675675675675676,21
RESTAURANT,882a1072cbfffff,RESTAURANT,882a1072c1fffff,0.0005330064227273938,0.05449591280653951,20
RESTAURANT,882a100d27fffff,LANDMARK,882a100d23fffff,0.0005863070650001332,0.054187192118226604,22
RESTAURANT,882a100d27fffff,RESTAURANT,882a10721bfffff,0.0005863070650001332,0.054187192118226604,22
RESTAURANT,882a100d27fffff,RESTAURANT,882a107259fffff,0.0005863070650001332,0.054187192118226604,22
RESTAURANT,882a1072cdfffff,RESTAURANT,882a10721bfffff,0.0005330064227273938,0.05405405405405406,20
RESTAURANT,882a100d21fffff,RESTAURANT,882a100d27fffff,0.0005330064227273938,0.053763440860215055,20
RESTAURANT,882a1072c9fffff,RESTAURANT,882a1072cdfffff,0.0005330064227273938,0.05128205128205128,20
